736698.604167,1.11,0.0
736698.614583,1.63,0.0
736698.625,2.13,0.0
736698.635417,2.63,0.0
736698.645833,3.05,0.0
736698.65625,3.3,0.0
736698.666667,3.37,0.0
736698.677083,3.31,0.0
736698.6875,3.15,0.0
736698.697917,2.95,0.0
736698.708333,2.75,0.0
736698.71875,2.57,0.0
736698.729167,2.41,0.0
736698.739583,2.23,0.0
736698.75,2.04,0.0
736698.760417,1.85,0.0
736698.770833,1.66,0.21
736698.78125,1.48,1.08
736698.791667,1.28,2.57
736698.802083,1.08,5.3
736698.8125,0.88,5.17
736698.822917,0.68,4.89
736698.833333,0.5,4.91
736698.84375,0.31,4.16
736698.854167,0.13,2.98
736698.864583,0.0,1.43
736698.875,0.0,1.19
736698.885417,0.0,2.67
736698.895833,0.0,2.15
736698.90625,0.0,2.69
736698.916667,0.0,4.55
736698.927083,0.0,6.04
736698.9375,0.0,6.32
736698.947917,0.0,3.92
736698.958333,0.0,2.42
736698.96875,0.0,0.77
736698.979167,0.0,0.48
736698.989583,0.0,0.29
736699.0,0.0,0.0
736699.010417,0.0,0.0
736699.020833,0.0,0.0
736699.03125,0.0,0.0
736699.041667,0.0,0.0
736699.052083,0.0,0.0
736699.0625,0.0,0.0
736699.072917,0.0,0.0
736699.083333,0.0,0.0
736699.09375,0.0,0.0
736699.104167,0.0,0.05
736699.114583,0.0,0.21
736699.125,0.0,0.03
736699.135417,0.0,0.0
736699.145833,0.0,0.0
736699.15625,0.0,0.0
736699.166667,0.0,0.0
736699.177083,0.0,0.74
736699.1875,0.0,5.29
736699.197917,0.0,9.3
736699.208333,0.0,9.07
736699.21875,0.0,10.18
736699.229167,0.17,10.44
736699.239583,0.66,10.98
736699.25,1.13,10.28
736699.260417,1.55,11.35
736699.270833,1.89,9.94
736699.28125,2.23,7.77
736699.291667,2.54,9.04
736699.302083,2.79,11.86
736699.3125,2.97,14.44
736699.322917,3.13,18.22
736699.333333,3.26,19.86
736699.34375,3.38,14.7
736699.354167,3.46,15.14
736699.364583,3.53,19.57
736699.375,3.56,22.98
736699.385417,3.58,28.63
736699.395833,3.56,36.7
736699.40625,3.53,35.09
736699.416667,3.46,36.43
736699.427083,3.49,41.44
736699.4375,3.61,44.54
736699.447917,3.68,30.94
736699.458333,3.73,26.54
736699.46875,3.83,30.09
736699.479167,4.0,34.36
736699.489583,4.15,38.57
736699.5,4.28,36.58
736699.510417,4.4,37.65
736699.520833,4.51,34.05
736699.53125,4.6,30.83
736699.541667,4.69,28.26
736699.552083,4.74,33.07
736699.5625,4.73,36.22
736699.572917,4.72,37.2
736699.583333,4.7,36.29
736699.59375,4.78,34.57
736699.604167,4.83,36.95
736699.614583,4.84,32.23
736699.625,4.84,20.16
736699.635417,4.88,13.43
736699.645833,5.01,13.99
